cre,gen,age,mar,hou,work,job,ind,sal,lb,aolu,tlr,ca,cl,pd,lu
bad,1,43.32,2,2,5,2,2,50000,1578343,87411,21.52,440000,80000,4,1
good,1,32.31,2,2,5,2,3,150000,46447,164857,45.5,290000,225002,0,2
good,1,32.31,1,3,1,2,3,100000,41381,167782,32.21,88000,241000,5,1
good,1,36.32,1,2,1,2,3,16000,442633,48553,42.39,160000,92000,0,1
good,2,34.32,2,2,1,1,3,500000,292347,111106,71.67,100000,173000,0,2
good,2,34.32,2,1,5,2,3,30000,299870,101134,40.04,200000,116000,4,2
bad,1,31.32,1,2,5,1,3,12000,437001,119920,65.49,147000,175000,7,1
bad,1,39.32,2,2,1,2,2,80000,1396859,52784,14.04,260000,112000,4,1
good,2,49.33,2,1,5,1,3,25000,592062,34840,26.8,240000,100000,3,1
good,1,45.32,2,3,5,2,3,10000,496467,175091,54.42,250000,249001,0,1
good,2,43.32,2,1,5,2,5,20000,155720,156039,56.19,219000,203000,5,2
good,2,36.32,2,3,2,2,3,20000,924242,159297,24.45,170000,188000,0,1
bad,2,49.33,2,2,3,1,4,240,3513224,94449,15.93,500000,127800,7,1
good,2,26.32,1,2,1,2,5,20000,94049,56205,32.63,200000,223300,7,2
good,2,42.33,2,3,5,2,3,15000,447354,122297,20.56,120000,189000,4,1
good,1,40.33,2,2,1,2,4,35000,1505116,620212,68.57,480000,1136500,2,2
good,2,46.33,2,2,1,2,3,100000,1267795,0,20.71,400000,0,5,1
bad,2,47.34,2,2,5,2,2,100000,2583521,690823,75,488000,662500,14,1
bad,2,26.32,2,2,5,2,3,50000,1889953,242936,23.51,300000,319152,1,1
good,1,53.34,2,2,1,2,3,25000,2250501,90593,17.36,500000,105000,17,1
good,1,46.34,1,3,5,1,2,7000,912065,4104,12.25,150000,75000,0,1
good,1,51.34,2,3,5,2,3,50000,1068371,104744,54.42,234000,145000,0,2
good,1,25.32,2,2,1,1,3,3000,41549,6756,23.47,90000,62036,4,1
good,1,29.32,2,3,2,2,3,20000,0,0,43.96,290000,0,0,1
good,1,48.34,2,2,5,1,2,15000,273350,88785,17.32,160000,121001,0,1
bad,2,41.33,2,2,5,2,2,150000,6847194,989609,20.51,500000,1237500,1,1
good,1,48.34,2,1,5,1,2,15000,878232,198309,74.7,290000,376677,1,1
good,2,36.33,2,3,1,2,3,50000,118253,136991,54.14,224000,254000,15,1
good,2,48.34,2,2,1,2,2,250000,51727,294763,45.78,110000,521200,2,1
bad,2,40.34,2,3,5,2,2,60000,333043,137516,32.93,380000,135000,3,2
good,2,32.33,2,3,1,2,3,20000,140772,13742,38.46,56000,21450,16,1
bad,1,39.34,2,2,2,2,2,100000,277976,172834,26.24,500000,180001,0,2
good,2,44.34,2,2,5,2,2,60000,2900134,309023,57,400000,394012,0,1
good,1,36.34,2,3,1,2,3,50000,43733,61955,32.27,93000,71600,4,1
good,1,32.33,2,2,4,1,4,8000,1193495,290840,74.95,113000,408000,9,1
good,2,32.33,1,3,1,2,3,100000,2926153,651216,74.89,290000,626000,0,1
good,1,33.33,2,1,2,2,3,10000,1263205,93802,21.51,290000,100000,3,1
bad,2,46.37,2,2,1,2,3,25000,275286,0,25.68,200000,41000,3,2
bad,2,38.36,2,2,5,2,3,150000,2155321,440673,66.46,500000,450000,3,1
bad,2,27.36,2,2,2,2,5,40000,183634,133952,59.92,200000,195100,2,2
bad,1,34.36,2,3,5,2,5,50000,176706,182267,71.79,300000,218049,8,2
bad,2,48.37,2,1,5,2,3,400000,3222367,804065,61.97,500000,1170050,9,1
good,2,51.38,2,2,1,2,2,50000,194747,111477,21.63,390000,225000,9,1
good,2,28.36,1,3,5,1,3,15000,749817,64486,23.3,169000,174916,4,1
good,1,31.36,2,2,5,2,3,70000,1067800,152098,56.54,500000,55401,4,2
good,2,44.37,2,2,1,2,3,16000,114355,137479,61.2,100000,240250,2,1
good,1,54.38,2,2,4,1,4,110712,0,0,36.1,500000,0,0,1
good,1,37.37,2,2,1,1,3,101595,691742,267562,63.46,216000,454444,0,1
